id,prediction
0,-0.0018028734
1,9.697372e-05
2,0.42976418
3,37.314907
4,392.79633
5,1024.005
6,2355.5676
7,2817.3247
8,3036.065
9,2398.35
10,1925.7662
11,1817.21
12,1748.3473
13,1595.7533
14,1932.7543
15,1371.3007
16,903.4873
17,471.17838
18,257.60916
19,16.421711
20,-1.1852493
21,0.0018252521
22,3.6016205e-05
23,-0.0018496681
24,-0.011190879
25,2.4415785e-05
26,6.5153975
27,116.831436
28,1135.4568
29,2068.1467
30,2262.1377
31,2854.4915
32,3365.2366
33,3258.252
34,2349.277
35,1953.761
36,1948.0332
37,1774.8838
38,2437.0132
39,1762.3647
40,1595.3182
41,947.90125
42,402.0458
43,121.17109
44,7.484574
45,-0.30691987
46,-0.411024
47,1.3505841
48,32.20418
49,6.06904
50,58.81242
51,580.3662
52,1427.134
53,1628.0786
54,2544.8518
55,4145.2866
56,4582.492
57,3582.085
58,2597.0796
59,2696.032
60,1666.9014
61,1715.6261
62,2330.3042
63,1569.0193
64,1198.0497
65,708.1863
66,424.13965
67,220.55893
68,-3.3640795
69,-0.8340776
70,0.7274672
71,-0.31357506
72,-0.025553819
73,2.794091
74,17.307367
75,175.19211
76,488.25644
77,1290.251
78,2487.406
79,3087.15
80,4464.3364
81,1887.6093
82,1938.4938
83,1905.5642
84,1735.4061
85,1857.4965
86,1772.859
87,1921.3583
88,1706.3467
89,1212.6484
90,425.45486
91,122.580315
92,2.0783043
93,2.4459841
94,-0.86822265
95,-0.6234028
96,1.2374518
97,6.0569196
98,63.572342
99,521.9352
100,890.81464
101,1537.3876
102,2144.899
103,2776.6877
104,4685.5073
105,3135.1675
106,2434.5425
107,2599.9734
108,2717.2637
109,2699.6226
110,2536.7935
111,2049.9067
112,1764.5465
113,1371.6425
114,545.6236
115,201.97685
116,12.770203
117,1.332467
118,30.600834
119,1.3399929
120,6.7595587
121,14.249674
122,165.53262
123,739.0232
124,1390.8148
125,1702.6292
126,1955.2689
127,3269.4546
128,4439.0938
129,2631.6401
130,1724.3258
131,1528.0083
132,1280.3018
133,1344.2261
134,1953.8833
135,1593.9988
136,1559.8822
137,979.3019
138,526.22687
139,230.11615
140,26.22969
141,1.1243317
142,1.1947691
143,1.0433297
144,6.9159675
145,25.128109
146,186.70058
147,706.2051
148,1336.5442
149,1891.5817
150,2478.6006
151,4360.7812
152,4658.5664
153,3349.4497
154,2533.0989
155,1924.3728
156,2002.39
157,1807.1776
158,2164.6306
159,1679.681
160,1425.0236
161,933.95465
162,430.17523
163,172.45288
164,11.213198
165,2.410629
166,-0.3646866
167,-0.052570596
168,0.38741294
169,3.6339552
170,34.275684
171,84.06739
172,171.93372
173,295.89017
174,476.73398
175,554.7763
176,681.44385
177,785.7944
178,1094.1921
179,1111.2754
180,1170.727
181,1539.0316
182,1922.1726
183,1490.5989
184,1477.1637
185,917.5615
186,499.16928
187,162.83388
188,15.325617
189,2.5997748
190,-0.24012668
191,-0.07756627
192,0.8839793
193,21.76002
194,79.75383
195,264.18716
196,514.5378
197,627.7305
198,1090.3357
199,1597.168
200,2176.429
201,1547.5243
202,1433.8097
203,1638.7257
204,1293.6797
205,1212.2882
206,1477.3466
207,1178.339
208,1145.0518
209,471.50406
210,279.84595
211,221.86356
212,102.87592
213,53.293415
214,55.774086
215,13.043885
216,1.4345554
217,9.63232
218,40.742283
219,97.46857
220,159.0504
221,319.06213
222,462.75284
223,596.39557
224,1220.784
225,1315.7395
226,1267.167
227,1158.9347
228,1018.61993
229,997.91504
230,829.9751
231,667.22876
232,464.6728
233,275.04565
234,284.5793
235,84.56187
236,16.081848
237,0.6989934
238,-0.14858362
239,0.0003692931
240,1.4918376
241,10.037692
242,51.494038
243,95.894844
244,183.09702
245,402.79837
246,948.13074
247,1464.1384
248,1972.7561
249,1249.3766
250,1349.1918
251,1491.631
252,1322.5477
253,1312.2759
254,1161.7366
255,1188.4357
256,1335.4148
257,830.14056
258,463.7178
259,222.48625
260,19.334051
261,-0.6658462
262,-0.05231819
263,0.018209102
264,5.5926967
265,18.4052
266,71.90365
267,170.01367
268,520.24036
269,676.5877
270,1058.0219
271,1221.051
272,1179.1097
273,1432.7026
274,1378.345
275,1503.7439
276,1610.8407
277,1606.8488
278,1300.0564
279,967.6303
280,1080.1674
281,548.0454
