id,prediction
0,0.0
1,0.0
2,0.16000421
3,43.881348
4,321.68613
5,887.7596
6,1441.3682
7,2297.571
8,2962.974
9,3097.6133
10,2967.2178
11,2837.3308
12,2594.3992
13,2230.959
14,2174.0247
15,1561.8203
16,1138.6063
17,565.86035
18,278.82425
19,10.789698
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,8.98532
27,126.86416
28,606.65735
29,1481.743
30,1783.5004
31,2147.8782
32,3347.961
33,4033.196
34,4196.762
35,3779.133
36,3945.7231
37,3504.463
38,3173.4858
39,2826.3489
40,1845.9515
41,813.0067
42,447.59778
43,104.59973
44,15.007685
45,8.763902
46,0.0
47,1.913555
48,0.85828286
49,0.64627075
50,18.587183
51,178.46303
52,708.0799
53,1723.4121
54,2819.892
55,3986.6448
56,4567.216
57,4889.8706
58,4921.197
59,4986.7036
60,3987.6035
61,3983.8274
62,3355.9832
63,2336.4866
64,1171.5839
65,687.5014
66,475.2239
67,145.54538
68,0.70192635
69,0.0
70,0.23108394
71,0.0
72,0.0
73,0.0
74,14.726405
75,80.51622
76,322.1837
77,1247.5736
78,2302.1614
79,3591.8157
80,4481.0815
81,4006.3613
82,3956.6045
83,4016.5676
84,3475.6797
85,3159.2778
86,3409.0195
87,2872.4292
88,2087.4846
89,955.45123
90,268.83167
91,96.436615
92,2.375432
93,0.0
94,0.0
95,0.0
96,0.0
97,0.10739656
98,41.9328
99,212.6891
100,511.24725
101,1305.0549
102,2638.809
103,3234.955
104,4703.521
105,4639.6064
106,4746.873
107,4751.7188
108,4758.652
109,4327.396
110,3740.7874
111,2744.0332
112,2055.414
113,872.4327
114,437.89005
115,199.72491
116,12.219824
117,7.0774403
118,0.0
119,0.0
120,0.0
121,0.0
122,70.2672
123,168.99286
124,737.46655
125,1840.215
126,2777.9958
127,4037.412
128,4555.195
129,4348.0737
130,3770.3872
131,2886.8064
132,2862.237
133,2965.1167
134,3065.5237
135,2684.0386
136,1815.9204
137,870.4347
138,450.11548
139,168.59914
140,10.004701
141,3.5106466
142,2.2727838
143,0.0
144,0.0
145,4.3539963
146,87.169395
147,184.13034
148,735.819
149,1922.1775
150,2916.401
151,4127.617
152,4668.662
153,4858.487
154,4770.6025
155,4272.1855
156,3650.6223
157,3282.9663
158,3039.4373
159,2562.7249
160,1714.1752
161,819.64
162,479.83307
163,191.39522
164,42.580585
165,0.0
166,0.0
167,4.221758
168,0.0
169,0.0
170,11.897462
171,83.41275
172,182.33754
173,209.71239
174,360.79343
175,515.71814
176,702.1343
177,834.74084
178,886.7707
179,955.0763
180,1282.4512
181,2087.0496
182,2405.1245
183,1770.8816
184,1232.7947
185,732.00275
186,272.59103
187,128.76584
188,23.567295
189,0.30699188
190,0.74842924
191,0.0
192,2.0476313
193,0.0
194,55.57598
195,166.98325
196,343.02512
197,568.9666
198,1112.0115
199,1839.9784
200,2434.1182
201,2282.725
202,2469.8733
203,3175.3027
204,2614.0864
205,2657.0479
206,2512.1365
207,1850.0989
208,870.10016
209,483.60764
210,240.00673
211,49.893223
212,10.801729
213,4.3435974
214,3.1345255
215,0.0
216,0.0
217,0.0
218,34.446854
219,106.236664
220,194.16605
221,193.74327
222,621.8283
223,1191.8383
224,1599.7491
225,1859.2551
226,1706.8744
227,1529.0361
228,1362.3239
229,1181.5665
230,789.11584
231,679.0604
232,483.92987
233,231.99335
234,155.20038
235,67.31545
236,22.068134
237,0.12533668
238,0.0
239,0.0
240,2.6174452
241,0.23846939
242,33.457882
243,118.93882
244,237.73051
245,678.5226
246,1035.0015
247,1811.2498
248,2177.7964
249,1788.5729
250,1348.9895
251,1537.0719
252,1992.2102
253,1974.5902
254,1687.3104
255,1479.4414
256,1175.3938
257,691.67786
258,437.49057
259,238.23438
260,142.58948
261,24.300676
262,0.7379422
263,0.0
264,0.0
265,1.6257781
266,58.285744
267,123.0804
268,318.26688
269,759.51324
270,991.0006
271,1334.8262
272,1655.989
273,1961.0924
274,1824.4285
275,1734.266
276,1729.2596
277,1276.2482
278,1102.2375
279,805.83075
280,628.19165
281,412.9738
282,153.36188
283,20.185095
284,0.0
285,0.0
286,7.0153317
287,0.0
288,0.97627085
289,0.0
290,50.09125
291,168.04799
292,269.42545
293,742.3187
294,1225.6963
295,1667.4736
296,1657.8031
297,1921.8969
298,2412.094
299,2322.1348
300,1959.5251
301,1616.8477
302,1550.947
303,1296.0475
304,910.28766
305,576.48193
306,292.2755
307,141.77544
308,18.77132
309,0.0
310,0.0
311,0.0
312,0.0
313,3.567734
314,68.930176
315,174.43939
316,429.59296
317,919.5693
318,1334.1296
319,1818.1863
320,2301.2
321,2350.5618
322,2680.15
323,2379.9817
324,2113.2097
325,1876.3414
326,1325.1956
327,744.37494
328,694.0471
329,429.59763
330,141.44608
331,75.28859
332,0.0
333,0.5763728
334,0.0
335,0.0
336,0.0
337,6.8956594
338,25.61286
339,91.88342
340,164.90114
341,485.93643
342,701.65063
343,976.0515
344,1068.9385
345,1276.0386
346,1232.3511
347,1525.9617
348,1253.018
349,1380.9508
350,1109.3589
351,1171.4417
352,881.30115
353,506.45673
354,211.91014
355,89.536964
356,31.872215
357,0.0
358,0.16064368
359,0.07058064
360,0.17539242
361,0.0
362,19.128033
363,101.977745
364,247.4403
365,575.5468
366,731.94684
367,1013.36206
368,1433.8867
369,1609.1486
370,1834.4779
371,1619.9473
372,1846.5947
373,1975.5194
374,1470.871
375,947.41547
376,802.6065
377,578.8737
378,231.28575
379,58.953983
380,0.42278144
381,3.0833225
382,0.2217081
383,0.15822433
384,0.0
385,7.869062
386,29.665579
387,106.421684
388,234.15688
389,537.4596
390,609.0661
391,789.8791
392,807.0334
393,1003.0561
394,1246.9545
395,1295.8383
396,1442.3015
397,1556.3896
398,1476.4547
399,1021.1232
400,796.6742
401,572.1867
402,295.98898
403,193.66924
404,47.29673
405,18.70205
406,2.5276928
407,0.36744764
408,0.0
409,17.125118
410,139.02719
411,371.3247
412,922.7819
413,1782.4808
414,2881.9048
415,3994.626
416,4557.638
417,5073.1816
418,5169.2256
419,4995.773
420,4784.122
421,4373.0933
422,3760.4795
423,3123.65
424,2228.1067
425,1255.7222
426,523.86554
427,257.5256
428,125.26251
429,4.1250033
430,0.0
431,0.0
432,4.4706254
433,24.044418
434,126.43035
435,324.29
436,817.3741
437,1474.3257
438,2311.258
439,3237.5735
440,3733.0557
441,4192.035
442,4135.9385
443,3217.4404
444,1914.201
445,1147.5098
446,1087.2644
447,936.353
448,958.153
449,620.9864
450,225.13527
451,102.95072
452,24.192928
453,8.512952
454,2.054442
455,0.34814554
456,0.0
457,0.0
458,40.122887
459,112.78403
460,403.40125
461,650.69244
462,1893.4114
463,3455.9583
464,4080.3542
465,3965.7822
466,4530.6367
467,4597.074
468,4716.202
469,4357.551
470,3645.0798
471,3061.6152
