id,time,prediction,location,pv_measurement
1440,2023-05-01 00:00:00,0.0,C,0.0
1441,2023-05-01 01:00:00,0.0,C,0.0
1442,2023-05-01 02:00:00,0.0,C,0.0
1443,2023-05-01 03:00:00,0.0,C,0.0
1444,2023-05-01 04:00:00,19.6,C,19.6
1445,2023-05-01 05:00:00,58.800000000000004,C,58.800000000000004
1446,2023-05-01 06:00:00,88.2,C,88.2
1447,2023-05-01 07:00:00,343.0,C,343.0
1448,2023-05-01 08:00:00,686.0,C,686.0
1449,2023-05-01 09:00:00,646.8000000000001,C,646.8000000000001
1450,2023-05-01 10:00:00,901.6,C,901.6
1451,2023-05-01 11:00:00,784.0,C,784.0
1452,2023-05-01 12:00:00,617.4000000000001,C,617.4000000000001
1453,2023-05-01 13:00:00,166.60000000000002,C,166.60000000000002
1454,2023-05-01 14:00:00,264.6,C,264.6
1455,2023-05-01 15:00:00,235.20000000000002,C,235.20000000000002
1456,2023-05-01 16:00:00,88.2,C,88.2
1457,2023-05-01 17:00:00,19.6,C,19.6
1458,2023-05-01 18:00:00,9.8,C,9.8
1459,2023-05-01 19:00:00,0.0,C,0.0
1460,2023-05-01 20:00:00,0.0,C,0.0
1461,2023-05-01 21:00:00,0.0,C,0.0
1462,2023-05-01 22:00:00,0.0,C,0.0
1463,2023-05-01 23:00:00,0.0,C,0.0
1464,2023-05-06 00:00:00,0.0,C,0.0
1465,2023-05-06 01:00:00,0.0,C,0.0
1466,2023-05-06 02:00:00,0.0,C,0.0
1467,2023-05-06 03:00:00,9.8,C,9.8
1468,2023-05-06 04:00:00,49.0,C,49.0
1469,2023-05-06 05:00:00,107.80000000000001,C,107.80000000000001
1470,2023-05-06 06:00:00,264.6,C,264.6
1471,2023-05-06 07:00:00,215.60000000000002,C,215.60000000000002
1472,2023-05-06 08:00:00,313.6,C,313.6
1473,2023-05-06 09:00:00,382.20000000000005,C,382.20000000000005
1474,2023-05-06 10:00:00,411.6,C,411.6
1475,2023-05-06 11:00:00,529.2,C,529.2
1476,2023-05-06 12:00:00,431.20000000000005,C,431.20000000000005
1477,2023-05-06 13:00:00,372.40000000000003,C,372.40000000000003
1478,2023-05-06 14:00:00,411.6,C,411.6
1479,2023-05-06 15:00:00,117.60000000000001,C,117.60000000000001
1480,2023-05-06 16:00:00,107.80000000000001,C,107.80000000000001
1481,2023-05-06 17:00:00,68.60000000000001,C,68.60000000000001
1482,2023-05-06 18:00:00,39.2,C,39.2
1483,2023-05-06 19:00:00,9.8,C,9.8
1484,2023-05-06 20:00:00,0.0,C,0.0
1485,2023-05-06 21:00:00,0.0,C,0.0
1486,2023-05-06 22:00:00,0.0,C,0.0
1487,2023-05-06 23:00:00,0.0,C,0.0
1488,2023-05-14 00:00:00,0.0,C,0.0
1489,2023-05-14 01:00:00,0.0,C,0.0
1490,2023-05-14 02:00:00,0.0,C,0.0
1491,2023-05-14 03:00:00,0.0,C,0.0
1492,2023-05-14 04:00:00,9.8,C,9.8
1493,2023-05-14 05:00:00,19.6,C,19.6
1494,2023-05-14 06:00:00,39.2,C,39.2
1495,2023-05-14 07:00:00,98.0,C,98.0
1496,2023-05-14 08:00:00,137.20000000000002,C,137.20000000000002
1497,2023-05-14 09:00:00,382.20000000000005,C,382.20000000000005
1498,2023-05-14 10:00:00,225.4,C,225.4
1499,2023-05-14 11:00:00,539.0,C,539.0
1500,2023-05-14 12:00:00,303.8,C,303.8
1501,2023-05-14 13:00:00,421.40000000000003,C,421.40000000000003
1502,2023-05-14 14:00:00,401.8,C,401.8
1503,2023-05-14 15:00:00,294.0,C,294.0
1504,2023-05-14 16:00:00,117.60000000000001,C,117.60000000000001
1505,2023-05-14 17:00:00,78.4,C,78.4
1506,2023-05-14 18:00:00,39.2,C,39.2
1507,2023-05-14 19:00:00,29.400000000000002,C,29.400000000000002
1508,2023-05-14 20:00:00,0.0,C,0.0
1509,2023-05-14 21:00:00,0.0,C,0.0
1510,2023-05-14 22:00:00,0.0,C,0.0
1511,2023-05-14 23:00:00,0.0,C,0.0
1512,2023-05-18 00:00:00,0.0,C,0.0
1513,2023-05-18 01:00:00,0.0,C,0.0
1514,2023-05-18 02:00:00,9.8,C,9.8
1515,2023-05-18 03:00:00,39.2,C,39.2
1516,2023-05-18 04:00:00,137.20000000000002,C,137.20000000000002
1517,2023-05-18 05:00:00,117.60000000000001,C,117.60000000000001
1518,2023-05-18 06:00:00,117.60000000000001,C,117.60000000000001
1519,2023-05-18 07:00:00,352.8,C,352.8
1520,2023-05-18 08:00:00,352.8,C,352.8
1521,2023-05-18 09:00:00,372.40000000000003,C,372.40000000000003
1522,2023-05-18 10:00:00,274.40000000000003,C,274.40000000000003
1523,2023-05-18 11:00:00,460.6,C,460.6
1524,2023-05-18 12:00:00,833.0000000000001,C,833.0000000000001
1525,2023-05-18 13:00:00,490.00000000000006,C,490.00000000000006
1526,2023-05-18 14:00:00,333.20000000000005,C,333.20000000000005
1527,2023-05-18 15:00:00,313.6,C,313.6
1528,2023-05-18 16:00:00,225.4,C,225.4
1529,2023-05-18 17:00:00,196.0,C,196.0
1530,2023-05-18 18:00:00,88.2,C,88.2
1531,2023-05-18 19:00:00,49.0,C,49.0
1532,2023-05-18 20:00:00,0.0,C,0.0
1533,2023-05-18 21:00:00,0.0,C,0.0
1534,2023-05-18 22:00:00,0.0,C,0.0
1535,2023-05-18 23:00:00,0.0,C,0.0
1536,2023-05-20 00:00:00,0.0,C,0.0
1537,2023-05-20 01:00:00,0.0,C,0.0
1538,2023-05-20 02:00:00,9.8,C,9.8
1539,2023-05-20 03:00:00,49.0,C,49.0
1540,2023-05-20 04:00:00,98.0,C,98.0
1541,2023-05-20 05:00:00,225.4,C,225.4
1542,2023-05-20 06:00:00,431.20000000000005,C,431.20000000000005
1543,2023-05-20 07:00:00,705.6,C,705.6
1544,2023-05-20 08:00:00,784.0,C,784.0
1545,2023-05-20 09:00:00,735.0,C,735.0
1546,2023-05-20 10:00:00,901.6,C,901.6
